2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 11:51 +07:00: Using device:  cuda
2024-07-17 11:51 +07:00: Training LSTM model...
2024-07-17 17:06 +07:00: Epoch [27/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6902, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 17:17 +07:00: Epoch [28/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 17:28 +07:00: Epoch [29/200], Train Loss: 0.6891, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 17:40 +07:00: Epoch [30/200], Train Loss: 0.6891, Train Accuracy: 0.5450, Val Loss: 0.6902, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 17:54 +07:00: Epoch [31/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 18:07 +07:00: Epoch [32/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 18:20 +07:00: Epoch [33/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 18:34 +07:00: Epoch [34/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 18:47 +07:00: Epoch [35/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 19:00 +07:00: Epoch [36/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 19:14 +07:00: Epoch [37/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 19:27 +07:00: Epoch [38/200], Train Loss: 0.6891, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 19:40 +07:00: Epoch [39/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 19:53 +07:00: Epoch [40/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 20:05 +07:00: Epoch [41/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6900, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 20:17 +07:00: Epoch [42/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 20:28 +07:00: Epoch [43/200], Train Loss: 0.6893, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
2024-07-17 20:39 +07:00: Epoch [44/200], Train Loss: 0.6892, Train Accuracy: 0.5450, Val Loss: 0.6901, Val Accuracy: 0.5395, Val Precision: 0.0000, Val Recall: 0.0000, Val F1: 0.0000
